Nombre,Compositor,Artista/Banda,URL,Año
Rosas en el mar,,Massiel,https://www.letras.com/aute-luis-eduardo/rosas-en-el-mar/,1968
Mi gran noche,,Raphael,https://www.letras.com/raphael/1713421/,1968
Palabras,,Johnny Dynamo y Los Leos	,https://www.musixmatch.com/es/letras/Johnny-Dynamo/Palabras,1968
Volverás por mí,,Chelo y su Conjunto	,https://www.letras.com/yelsid/volveras-a-mi/,1969
Te deseo amor,,La Rondalla de Saltillo	,https://www.letras.com/la-rondalla-de-saltillo/te-deseo-amor/,1969
Quero me casar contigo,,Roberto Carlos	,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1969
Te vi llorando,,Marco Antonio Vázquez	,https://www.musica.com/letras.asp?letra=1628544,1969
La nave del olvido,,José José	,https://www.letras.com/jose-jose/747489/,1970
El triste,,José José,https://www.letras.com/jose-jose/135216/,1970
Y volveré,,Los Ángeles Negros,https://www.letras.com/los-angeles-negros/1101934/,1970
Y volveré,,Los Ángeles Negros,https://www.letras.com/los-angeles-negros/1101934/,1971
Nasty Sex,,La Revolución de Emiliano Zapata	,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1971
Mi corazón es un gitano,,Lupita D'Alessio,https://www.letras.com/lupita-dalessio/mi-corazon-es-un-gitano/,1971
Mary es mi amor,,Leo Dan,https://www.letras.com/leo-dan/1004502/,1971
Felicidad,,"Víctor Yturbe ""El Pirulí""",https://www.letras.com/victor-iturbe/1077822/,1971
Mary es mi amor,,Leo Dan	,https://www.letras.com/leo-dan/1004502/,1971
Rosa marchita,,Roberto Jordán	,https://www.letras.com/roberto-jordan/894651/,1971
Porque yo te amo,,Sandro de América	,https://www.letras.com/sandro/656433/,1971
Porque yo te amo,,Sandro de América        ,https://www.letras.com/sandro/656433/,1972
Rosas rojas,,Massimo Ranieri	,https://www.letras.com/massimo-ranieri/rosas-rojas/,1972
No tengo dinero,,Juan Gabriel        ,https://www.letras.com/juan-gabriel/no-tengo-dinero/,1972
Desiderata,,Arturo Benavides	,https://www.letras.com/arturo-benavides/372068/,1972
Corazón de roca,,Los Fresno	,https://www.letras.com/la-rondalla-de-saltillo/corazon-de-roca/,1972
No se ha dado cuenta,,Roberto Jordán	,https://www.letras.com/roberto-jordan/894650/,1972
Verónica,,"Víctor Yturbe ""El Pirulí""	",https://www.letras.com/victor-yturbide-piruli/869257/,1972
¿Por qué?,,Los Baby's	,https://www.musica.com/letras.asp?letra=1221612,1972
Miénteme,,"Víctor Yturbe ""El Pirulí""	",https://www.letras.com/victor-yturbide-piruli/1480107/,1972
Miénteme,,"Víctor Yturbe ""El Pirulí""        ",https://www.letras.com/victor-yturbide-piruli/1480107/,1972
Volverá el amor,,Virginia López	,https://www.musixmatch.com/es/letras/Virginia-Lopez/Volver%C3%A1-el-Amor,1972
Río rebelde,,Julio Iglesias        ,https://www.letras.com/julio-iglesias/473471/,1972
Río rebelde,,Julio Iglesias        ,https://www.letras.com/julio-iglesias/473471/,1973
"Volver, volver",,Vicente Fernández	,https://www.letras.com/vicente-fernandez/754897/,1973
Te voy a enseñar a querer,,Manoella Torres        ,https://www.letras.com/manoella-torres/966739/,1973
Detalles,,Roberto Carlos	,https://www.letras.com/roberto-carlos/77201/,1973
Un sueño,,La Tropa Loca	,https://www.musica.com/letras.asp?letra=965919,1973
Déjenme llorar,,Los Freddy's	,https://www.letras.com/los-freddys/dejenme-llorar/,1973
Engaño,,La Tropa Loca	,https://www.letras.com/la-tropa-loca/engano/,1973
Él,,Los Strwck	,https://www.musica.com/letras.asp?letra=1830545,1973
Dieciséis años,,Julio Iglesias	,https://www.letras.com/julio-iglesias/570857/,1973
Déjenme si estoy llorando,,Los Ángeles Negros	,https://www.letras.com/los-angeles-negros/1101948/,1974
Me gusta estar contigo,,Angélica María	,https://www.letras.com/angelica-vale/me-gusta-estar-contigo/,1974
Espejismo,,Juanello	,https://www.letras.com/juanello/espejismo/,1974
Cómo sufro,,Los Baby's	,https://www.letras.com/gloria-trevi/como-sufro/,1974
Espejismo,,Juanello	,https://www.letras.com/juanello/espejismo/,1974
Amada amante,,Roberto Carlos	,https://www.letras.com/roberto-carlos/amada-amante-espanhol/,1974
Candilejas,,José Augusto	,https://www.letras.com/julio-iglesias/570848/,1974
Mi plegaria,,César	,https://www.musica.com/letras.asp?letra=1698629,1974
Mi plegaria,,César	,https://www.musica.com/letras.asp?letra=1698629,1975
¿Quieres ser mi amante?,,Camilo Sesto	,https://www.letras.com/sesto-camilo/35794/,1975
Te juro que te amo,,Los Terrícolas	,https://www.letras.com/los-temerarios/1098482/,1975
¿Quieres ser mi amante?,,Camilo Sesto	,https://www.letras.com/sesto-camilo/35794/,1975
Luna blanca,,Karina	,https://www.musica.com/letras.asp?letra=2131201,1975
Se me olvidó otra vez,,Juan Gabriel	,https://www.letras.com/juan-gabriel/330549/,1975
Llueve sobre mojado,,Camilo Sesto	,https://www.letras.com/sesto-camilo/409335/,1975
Llorarás,,Los Terrícolas	,https://www.letras.com/los-terricolas/lloraras/,1975
El alacrán,,La Pandilla	,https://www.musica.com/letras.asp?letra=915581,1975
¿Por qué nos dijimos adiós?,,Grupo Yndio ,https://www.letras.com/grupo-indio/1405249/,1975
Una carta,,Los Terrícolas	,https://www.letras.com/los-terricolas/una-carta/,1976
Esclavo y amo,,Los Pasteles Verdes	,https://www.letras.com/pasteles-verdes/863045/,1976
Nomás contigo,,Mario Quintero	,https://www.letras.com/mario-quintero/nomas-contigo/,1976
Jamás,,Camilo Sesto	,https://www.letras.com/sesto-camilo/320463/,1976
Nomás contigo,,Mario Quintero	,https://www.letras.com/mario-quintero/nomas-contigo/,1976
Hoy tengo ganas de ti,,Miguel Gallardo	,https://www.letras.com/miguel-gallardo/1194181/,1976
Luto en el alma,,Los Terrícolas	,https://www.letras.com/los-terricolas/luto-en-mi-alma/,1976
Una lágrima y un recuerdo,,Grupo Miramar	,https://www.letras.com/grupo-miramar/una-lagrima-y-un-recuerdo/,1976
Luto en el alma,,Los Terrícolas	,https://www.letras.com/los-terricolas/luto-en-mi-alma/,1976
Llamarada,,Manolo Muñoz	,https://www.letras.com/manolo-muoz/llamarada/,1977
Un día con mamá,,Cepillín        ,https://www.letras.com/cepillin/749173/,1977
Vive,,Napoleón	,https://www.letras.com/jose-maria-napoleon/1894399/,1977
Siempre en mi mente,,Juan Gabriel	,https://www.letras.com/juan-gabriel/330550/,1977
Gavilán o paloma,,José José	,https://www.letras.com/jose-jose/556658/,1977
Hombre,,Napoleón	,https://www.letras.com/jose-maria-napoleon/hombre/,1977
Tarde,,Rocío Dúrcal	,https://www.letras.com/rocio-durcal/544311/,1977
Si tú te vas,,Camilo Sesto        ,https://www.letras.com/sesto-camilo/409693/,1978
Si tú te vas,,Camilo Sesto        ,https://www.letras.com/sesto-camilo/409693/,1978
Amigo,,Roberto Carlos	,https://www.letras.com/roberto-carlos/48633/,1978
Aunque te enamores,,Juan Gabriel	,https://www.letras.com/juan-gabriel/330537/,1978
El negro José,,Los Virtuosos de la Salsa,https://www.letras.com/illapu/751274/,1978
"Lo pasado, pasado",,José José	,https://www.letras.com/jose-jose/discografia/lo-pasado-pasado-1978/,1979
Amigo,,Roberto Carlos	,https://www.letras.com/roberto-carlos/774018/,1979
El amor de mi vida,,Camilo Sesto	,https://www.letras.com/sesto-camilo/399772/,1979
Chiquitita,,ABBA	,https://www.letras.com/abba/chiquitita-spanish-version/,1979
Quererte a ti,,Ángela Carrasco	,https://www.letras.com/angela-carrasco/917266/,1979
Si me dejas ahora,,José José	,https://www.letras.com/jose-jose/135237/,1979
